地名,センター,燃やせるごみ,燃やせないごみ,資源物・危険ごみ,大型ごみ
3あけぼの町,クリーンセンター,月 木,金1 金3 20151225 20160115 20160325 20160408 20160422 20160429 20160513,火2 火4,20161231
25あさひが丘,クリーンセンター,水 土,月2 月4 20151221 20160104 20160321 20160404 20160418 20160502,木1 木3,20161231
3朝日町,クリーンセンター,月 木,金1 金3 20151225 20160115 20160325 20160408 20160422 20160429 20160513,火2 火4,20161231
6いずみ野,クリーンセンター,月 木,水2 水4 20151230 20160106 20160330 20160406 20160420 20160504,土1 土3,20161231
13一番町,クリーンセンター,月 木,火2 火4 20151229 20160105 20160329 20160405 20160419 20160503,金2 金4,20161231
3江別太（市街地）,クリーンセンター,月 木,金1 金3 20151225 20160115 20160325 20160408 20160422 20160429 20160513,火2 火4,20161231
4王子,クリーンセンター,月 木,水2 水4 20151230 20160106 20160330 20160406 20160420 20160504,火2 火4,20161231
21大麻泉町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,水2 水4,20161231
22大麻扇町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
18大麻北町,クリーンセンター,火 金,土1 土3 20151226 20160116 20160326 20160409 20160423 20160430 20160514,月1 月3,20161231
18大麻栄町,クリーンセンター,火 金,土1 土3 20151226 20160116 20160326 20160409 20160423 20160430 20160514,月1 月3,20161231
22大麻桜木町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
22大麻沢町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
21大麻新町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,水2 水4,20161231
19大麻園町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,月1 月3,20161231
21大麻高町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,水2 水4,20161231
22大麻中町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
22大麻西町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
19大麻晴美町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,月1 月3,20161231
22大麻ひかり町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
21大麻東町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,水2 水4,20161231
21大麻南樹町,クリーンセンター,火 金,木1 木3 20151231 20160114 20160331 20160414 20160428 20160512,水2 水4,20161231
22大麻宮町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,水1 水3,20161231
20大麻元町,クリーンセンター,火 金,木2 木4 20151231 20160107 20160331 20160407 20160421 20160505,月1 月3,20161231
2上江別（市街地）,クリーンセンター,月 木,金2 金4 20151218 20160108 20160318 20160401 20160415 20160429 20160506,火1 火3,20161231
2上江別西町,クリーンセンター,月 木,金2 金4 20151218 20160108 20160318 20160401 20160415 20160429 20160506,火1 火3,20161231
2上江別東町,クリーンセンター,月 木,金2 金4 20151218 20160108 20160318 20160401 20160415 20160429 20160506,火1 火3,20161231
2上江別南町,クリーンセンター,月 木,金2 金4 20151218 20160108 20160318 20160401 20160415 20160429 20160506,火1 火3,20161231
15幸町,クリーンセンター,月 木,火1 火3 20151229 20160112 20160329 20160412 20160426 20160510,金2 金4,20161231
5条丁目,クリーンセンター,水 土,金1 金3 20151225 20160115 20160325 20160408 20160422 20160429 20160513,火1 火3,20161231
17新栄台,クリーンセンター,火 金,水1 水3 20151230 20160113 20160330 20160413 20160427 20160511,月2 月4,20161231
12高砂町,クリーンセンター,月 木,火2 火4 20151229 20160105 20160329 20160405 20160419 20160503,金1 金3,20161231
17中央町,クリーンセンター,火 金,水1 水3 20151230 20160113 20160330 20160413 20160427 20160511,月2 月4,20161231
